OBJECTID,FACILITYID,STREETSEGID,SOURCEID,BIKELANELENGTH,FACILITY,PROPOSEDCYCLETRACK,Shape_Length,TRAVELDIRECTION,NOTES,BIKELANE_YEAR,PLANSREADY,GAP,GAP_NOTES,NEED_SYMBOL,NEED_SYM_1,REPAINT_LINE,YEAR_INSTALLED
28,SEGID- 5853,5853,20040190,0.04457254,Existing Bike Lane, ,71.7327038789377, ,existing bike route,0, , , ,,,,2008
29,SEGID- 1322,1322,20040197,0.04926222,Existing Bike Lane, ,79.2800146765259, ,existing bike route,0, , , ,,,,2008
30,SEGID- 6387,6387,20040200,0.07667707,Existing Bike Lane, ,123.400034907596, ,existing bike route,0, , , ,,,,2008
31,SEGID- 4034,4034,20040220,0.03983486,Existing Bike Lane, ,64.1085414223446, ,existing bike route,0, , , ,,,,2008
32,SEGID- 7933,7933,20040225,0.03264867,Existing Bike Lane, ,52.5426486227053, ,existing bike route,0, , , ,,,,2008
33,SEGID- 7137,7137,20040230,0.07357666,Existing Bike Lane, ,118.410383523772, ,existing bike route,0, , , ,,,,2008
34,SEGID- 6668,6668,20040240,0.0741918,Existing Bike Lane, ,119.400372183586, ,existing bike route,0, , , ,,,,2008
35,SEGID- 5947,5947,20040250,0.04240849,Existing Bike Lane, ,68.2500032786917, ,existing bike route,0, , , ,,,,2008
36,SEGID- 2777,2777,20040255,0.03133575,Existing Bike Lane, ,50.4300885282509, ,existing bike route,0, , , ,,,,2008
37,SEGID- 980,980,20040260,0.07389336,Existing Bike Lane, ,118.920073455701, ,existing bike route,0, , , ,,,,2008
38,SEGID- 10569,10569,20040270,0.07452091,Existing Bike Lane, ,119.930040325071, ,existing bike route,0, , , ,,,,2008
39,SEGID- 842,842,17286000,0.12638273,Existing Bike Lane, ,203.393677612948,In Bound, ,0, , , ,,,,2007
40,SEGID- 6632,6632,17286010,0.16276887,Existing Bike Lane, ,261.951637012418,In Bound, ,0, , , ,,,,2007
41,SEGID- 10218,10218,17286030,0.05326388,Existing Bike Lane, ,85.7200696422089,In Bound, ,0, , , ,,,,2007
42,SEGID- 10022,10022,16981060,0.11499406,Cycle Track, ,185.065368873408, ,"ADC rec route, 97 strategic transp plan",2010, , , ,,,,2010
43,SEGID- 10325,10325,16981070,0.11789005,Cycle Track, ,189.726400882918, ,97 strategic transp plan,2010, , , ,,,,2010
44,SEGID- 8606,8606,16981090,0.11604223,Cycle Track, ,186.751383109371, ,97 strategic transp plan,2010, , , ,,,,2010
45,SEGID- 8870,8870,16981100,0.06017968,Cycle Track, ,96.8509734464954, ,97 strategic transp plan,2010, , , ,,,,2010
46,SEGID- 10736,10736,16981110,0.05946745,Cycle Track, ,95.7038327170969, ,97 strategic transp plan,2010, , , ,,,,2010
47,SEGID- 1681,1681,16981120,0.08795735,Cycle Track, ,141.553221035342, ,97 strategic transp plan,2010, , , ,,,,2010
48,SEGID- 554,554,16981130,0.0617708,Cycle Track, ,99.4106964651013, ,97 strategic transp plan,2010, , , ,,,,2010
49,SEGID- 1067,1067,16981136,0.09125157,Cycle Track, ,146.855486595328, ,97 strategic transp plan,2010, , , ,,,,2010
50,SEGID- 1358,1358,16253305,0.06261338,Shared Lane, ,100.766684484841, ,"public input; sharrows",2013, , , ,,,,2013
51,SEGID- 2997,2997,16253310,0.08565799,Shared Lane, ,137.853448107705, ,"public input; sharrows",2013, , , ,,,,2013
52,SEGID- 10578,10578,16253313,0.0613815,Shared Lane, ,98.7841608737991, ,"public input; sharrows",2013, , , ,,,,2013
53,SEGID- 4776,4776,16253317,0.02762772,Shared Lane, ,44.4625667919406, ,"public input; sharrows",2013, , , ,,,,2013
54,SEGID- 6253,6253,16422105,0.0713305,Shared Lane, ,114.795362673375,Out Bound,ADC rec route,2014,Yes, , ,,,,2014
55,SEGID- 13185,13185,16422115,0.13155324,Existing Bike Lane, ,211.713927605937,Out Bound,ADC rec route,2014,Yes, , ,,,,2014
56,SEGID- 252,252,16422120,0.04561293,Existing Bike Lane, ,73.4072295168777, ,ADC rec route,2014,Yes, , ,,,,2014
57,SEGID- 4333,4333,16422123,0.03239098,Existing Bike Lane, ,52.1287022361901, ,ADC rec route,2014,Yes, , ,,,,2014
58,SEGID- 4104,4104,16422127,0.08679725,Existing Bike Lane, ,139.687101415846, ,ADC rec route,2014,Yes, , ,,,,2014
59,SEGID- 4930,4930,16422130,0.06988156,Existing Bike Lane, ,112.463924572591, ,ADC rec route,2014,Yes, , ,,,,2014
60,SEGID- 9634,9634,16422135,0.04324802,Existing Bike Lane, ,69.6002790586566, ,ADC rec route,2014,Yes, , ,,,,2014
61,SEGID- 12213,12213,16422140,0.04926259,Existing Bike Lane, ,79.2814167435967, ,ADC rec route,2014,Yes, , ,,,,2014
62,SEGID- 9220,9220,16422157,0.08435891,Existing Bike Lane, ,135.762129965757, ,existing bike lane,0, , , ,,,,2002
63,SEGID- 3529,3529,16422163,0.02876333,Existing Bike Lane, ,46.2908807286309, ,existing bike lane,0, , , ,,,,2002
64,SEGID- 8095,8095,16422167,0.06314927,Existing Bike Lane, ,101.628529852923, ,existing bike lane,0, , , ,,,,2002
65,SEGID- 10684,10684,16422170,0.06416872,Existing Bike Lane, ,103.269613748334, ,existing bike lane,0, , , ,,,,2002
66,SEGID- 8454,8454,15135425,0.0527194,Existing Bike Lane, ,84.8438221947008, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
67,SEGID- 12278,12278,15135430,0.08679127,Existing Bike Lane, ,139.677283921371, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
68,SEGID- 2230,2230,15135440,0.08825564,Existing Bike Lane, ,142.033968725719, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
69,SEGID- 6808,6808,15135460,0.04910973,Existing Bike Lane, ,79.0344819894981, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
70,SEGID- 949,949,15135475,0.04928375,Existing Bike Lane, ,79.314667841846, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
71,SEGID- 2000,2000,15135480,0.0563735,Existing Bike Lane, ,90.7245151588266, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
72,SEGID- 1051,1051,15135483,0.06454082,Existing Bike Lane, ,103.868586098004, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
73,SEGID- 4179,4179,15135490,0.03664307,Existing Bike Lane, ,58.9714273473455, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
74,SEGID- 4337,4337,15135495,0.05058167,Existing Bike Lane, ,81.4034721143316, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
75,SEGID- 11467,11467,15135500,0.08675212,Existing Bike Lane, ,139.614276608691, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
76,SEGID- 4727,4727,15135510,0.08401802,Existing Bike Lane, ,135.214254106035, ,"COG 95, 1975 plan, existing bike lane",0, , , ,,,,2002
77,SEGID- 5830,5830,15135515,0.09842582,Existing Bike Lane, ,158.401395305401, ,"COG 95, 1975 plan, public input",0, , , ,,,,2008
78,SEGID- 671,671,15135530,0.06436396,Existing Bike Lane, ,103.5839718291, ,"COG 95, 1975 plan, public input",0, , , ,,,,2008
79,SEGID- 3266,3266,15785150,0.10587346,Existing Bike Lane,Yes,170.387417959211,Out Bound, ,2014,Yes, , ,,,,2014
80,SEGID- 8343,8343,15785160,0.10602754,Cycle Track,Yes,170.634872487131,Out Bound, ,2014,Yes, , ,,,,2014
81,SEGID- 184,184,15785170,0.14157587,Cycle Track,Yes,227.845086490748,Out Bound, ,2014,Yes, , ,,,,2014
82,SEGID- 3992,3992,10330160,0.06811295,Existing Bike Lane, ,109.617582162068,Out Bound, ,2011, , , ,,,,2011
83,SEGID- 3750,3750,10330163,0.05254491,Existing Bike Lane, ,84.5624047263851,Out Bound, ,2011, , , ,,,,2011
84,SEGID- 12853,12853,10340140,0.06814002,Existing Bike Lane, ,109.660955803947,In Bound, ,0, , , ,,,,2009
85,SEGID- 2765,2765,10340150,0.06830549,Existing Bike Lane, ,109.92725397626,In Bound, ,0, , , ,,,,2009
86,SEGID- 1988,1988,10340155,0.06796635,Existing Bike Lane, ,109.381378986072,In Bound, ,0, , , ,,,,2009
87,SEGID- 8613,8613,10340160,0.06881163,Existing Bike Lane, ,110.741892281826,In Bound, ,0, , , ,,,,2009
88,SEGID- 11143,11143,10340163,0.06809778,Existing Bike Lane, ,109.59289443071,In Bound, ,0, , , ,,,,2009
89,SEGID- 1786,1786,10340167,0.06792597,Existing Bike Lane, ,109.316548733004,In Bound, ,0, , , ,,,,2009
90,SEGID- 11426,11426,10340170,0.14619704,Existing Bike Lane, ,235.281700557374,In Bound, ,0, , , ,,,,2009
91,SEGID- 1874,1874,10910180,0.05193671,Existing Bike Lane, ,83.5841960583991, ,ADC rec route,2011,Yes, , ,,,,2009
92,SEGID- 3593,3593,10910260,0.07014243,Existing Bike Lane, ,112.883766420205, ,ADC rec route,0, , , ,,,,2004
93,SEGID- 13137,13137,10910270,0.07940662,Existing Bike Lane, ,127.792428565251, ,ADC rec route,0, , , ,,,,2004
94,SEGID- 12258,12258,12002190,0.14248715,Existing Bike Lane, ,229.311303294719, ,existing bike lane,0, , , ,,,,1980
95,SEGID- 7896,7896,12002200,0.16347495,Existing Bike Lane, ,263.088189953473, , ,0, , , ,,,,1980
96,SEGID- 10948,10948,12002240,0.18797256,Existing Bike Lane, ,302.512768009684, ,existing bike lane,0, , , ,,,,1980
97,SEGID- 4347,4347,12002280,0.0885599,Existing Bike Lane, ,142.524125919186, ,existing bike lane,0, , , ,,,,1980
98,SEGID- 487,487,12463163,0.07185883,Existing Bike Lane, ,115.645663354255, ,ADC rec route,2012,Yes,No,Part of 16th to Connecticut Ave gap,,,,2012
99,SEGID- 5274,5274,12463168,0.0471723,Existing Bike Lane, ,75.9166182305426, ,ADC rec route,0, ,No,Part of 16th to Connecticut Ave gap,,,,2004
100,SEGID- 800,800,12463170,0.06739468,Existing Bike Lane, ,108.461433266166, ,ADC rec route,2012,Yes,No,Part of 16th to Connecticut Ave gap,,,,2012
101,SEGID- 10909,10909,12463172,0.01369445,Existing Bike Lane, ,22.039122031279, ,ADC rec route,2012,Yes,No,Part of 16th to Connecticut Ave gap,,,,2012
102,SEGID- 12659,12659,12463174,0.07591378,Existing Bike Lane, ,122.171646298794, ,ADC rec route,2012,Yes,No,Part of 16th to Connecticut Ave gap,,,,2012
103,SEGID- 339,339,12463176,0.04848629,Existing Bike Lane, ,78.0312451029514, ,ADC rec route,2012,Yes,No,Part of 16th to Connecticut Ave gap,,,,2012
104,SEGID- 5292,5292,12463178,0.04185707,Existing Bike Lane, ,67.3625761895242, ,ADC rec route,0, ,No,Part of 16th to Connecticut Ave gap,,,,2012
105,SEGID- 132,132,13133000,0.12791117,Existing Bike Lane, ,205.853508797671, ,ADC rec route,0, , , ,,,,2007
106,SEGID- 4398,4398,13133005,0.03950072,Existing Bike Lane, ,63.570000000298, ,ADC rec route,0, , , ,,,,2007
107,SEGID- 11332,11332,13133010,0.08056369,Existing Bike Lane, ,129.655545308433, ,ADC rec route,0, , , ,,,,2007
108,SEGID- 2107,2107,13133020,0.08230392,Existing Bike Lane, ,132.455468066236, ,ADC rec route,0, , , ,,,,2007
109,SEGID- 12804,12804,13133030,0.05359559,Existing Bike Lane, ,86.2538126502223, ,ADC rec route,0, , , ,,,,2006
110,SEGID- 10275,10275,13133040,0.14800426,Existing Bike Lane, ,238.189719114027, ,ADC rec route,0, , , ,,,,2006
111,SEGID- 7200,7200,13133050,0.05280829,Existing Bike Lane, ,84.9874837643443, ,ADC rec route,0, , , ,,,,2006
112,SEGID- 6437,6437,13133060,0.10844599,Existing Bike Lane, ,174.527208854536, ,ADC rec route,0, , , ,,,,2006
113,SEGID- 3603,3603,13133070,0.05595701,Existing Bike Lane, ,90.0541764648865, ,ADC rec route,0, , , ,,,,2006
114,SEGID- 1542,1542,13133080,0.05444748,Existing Bike Lane, ,87.6250586055185, ,ADC rec route,0, , , ,,,,2006
115,SEGID- 8885,8885,13133090,0.10885589,Existing Bike Lane, ,175.186671565948, ,ADC rec route,0, , , ,,,,2006
116,SEGID- 8853,8853,13133100,0.05693557,Existing Bike Lane, ,91.6296425578205, ,ADC rec route,0, , , ,,,,2006
117,SEGID- 10324,10324,13133120,0.08401045,Existing Bike Lane, ,135.201836951692, ,ADC rec route,0, , , ,,,,2006
118,SEGID- 6424,6424,14855488,0.03360282,Existing Bike Lane, ,54.0785995369297, ,existing bike lane,0, , , ,,,,2002
119,SEGID- 5373,5373,14855490,0.01830613,Existing Bike Lane, ,29.4612793480984, ,existing bike lane,0, , , ,,,,2002
120,SEGID- 7636,7636,14875170,0.13132519,Existing Bike Lane, ,211.347775560992,In Bound,existing bike lane,0, , , ,,,,2002
121,SEGID- 7783,7783,14875180,0.04587075,Existing Bike Lane, ,73.8219559809149,In Bound,existing bike lane,0, , , ,,,,2002
122,SEGID- 8228,8228,14875183,0.13577276,Existing Bike Lane, ,218.505305895306,In Bound,existing bike lane,0, , , ,,,,2002
123,SEGID- 7638,7638,20150000,0.07778636,Existing Bike Lane, ,125.185259198716,Out Bound,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
124,SEGID- 3566,3566,20150010,0.03743854,Existing Bike Lane, ,60.2516336712564, ,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
125,SEGID- 11328,11328,20150015,0.03709585,Existing Bike Lane, ,59.7000952678089, ,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
126,SEGID- 10017,10017,20150020,0.03283119,Existing Bike Lane, ,52.836308216996, ,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
127,SEGID- 5559,5559,20150030,0.0882164,Existing Bike Lane, ,141.970794785826,Out Bound,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
128,SEGID- 62,62,20150043,0.00467281,Existing Bike Lane, ,7.52017286959979,Out Bound, ,0, , , ,,,,2003
129,SEGID- 5558,5558,20150047,0.04475185,Existing Bike Lane, ,72.0212654333998,Out Bound,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
130,SEGID- 7470,7470,20150050,0.03830881,Existing Bike Lane, ,61.6521622187341,Out Bound,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
131,SEGID- 6302,6302,20150060,0.04545471,Existing Bike Lane, ,73.1524214433824,Out Bound,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
132,SEGID- 9772,9772,20150065,0.02522977,Existing Bike Lane, ,40.6034634021725,Out Bound,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
133,SEGID- 1946,1946,20150067,0.08359797,Existing Bike Lane, ,134.538146397785,Out Bound,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
134,SEGID- 587,587,20150070,0.0882356,Existing Bike Lane, ,142.001813826738,Out Bound,"Sebastian planned lanes, ADC rec route",0, , , ,,,,2003
135,SEGID- 4371,4371,17416080,0.05511561,Existing Bike Lane, ,88.7001499995297,Out Bound, ,0, , , ,,,,2004
136,SEGID- 10737,10737,17416090,0.10896979,Existing Bike Lane, ,175.370246415936,Out Bound, ,0, , , ,,,,2004
137,SEGID- 77,77,18456063,0.01678374,Existing Bike Lane, ,27.0108676019546, , ,0, , , ,,,,2008
138,SEGID- 12,12,18456067,0.05642927,Existing Bike Lane, ,90.8143066606394, , ,0, , , ,,,,2008
139,SEGID- 9670,9670,18456070,0.05533337,Existing Bike Lane, ,89.0505857718857, , ,0, , , ,,,,2008
140,SEGID- 1752,1752,18456080,0.05508585,Existing Bike Lane, ,88.6522374518278, , ,0, , , ,,,,2008
141,SEGID- 7284,7284,18456090,0.11755414,Existing Bike Lane, ,189.185938716366, , ,0, , , ,,,,2008
142,SEGID- 9103,9103,18456100,0.04779474,Existing Bike Lane, ,76.9178278632467, , ,0, , , ,,,,2008
143,SEGID- 543,543,18456110,0.0563398,Existing Bike Lane, ,90.670312811712, , ,0, , , ,,,,2008
144,SEGID- 327,327,18456120,0.08297567,Existing Bike Lane, ,133.536652425153, , ,0, , , ,,,,2008
145,SEGID- 5444,5444,18456150,0.10600642,Existing Bike Lane, ,170.601135003954, , ,0, , , ,,,,2008
146,SEGID- 5655,5655,18456160,0.07417355,Existing Bike Lane, ,119.370972281763, , ,0, , , ,,,,2007
147,SEGID- 6595,6595,18456165,0.03207668,Existing Bike Lane, ,51.6225206513067, , ,0, , , ,,,,2007
148,SEGID- 6681,6681,18846100,0.05637118,Existing Bike Lane, ,90.7207970121542,Out Bound, ,2009,Yes, , ,,,,2009
149,SEGID- 2382,2382,18846120,0.08278617,Existing Bike Lane, ,133.231670792894,Out Bound, ,2009,Yes, , ,,,,2009
150,SEGID- 8681,8681,18846130,0.1256541,Existing Bike Lane, ,202.221073513935,Out Bound, ,2009,Yes, , ,,,,2009
151,SEGID- 10014,10014,18846140,0.13892434,Existing Bike Lane, ,223.577510137421,Out Bound, ,2009,Yes, , ,,,,2009
152,SEGID- 10129,10129,18846150,0.05190333,Existing Bike Lane, ,83.5304985076875,Out Bound, ,2009,Yes, , ,,,,2009
153,SEGID- 2016,2016,25785010,0.10736624,Cycle Track,Maybe,172.789746820619, , ,0, , , ,,,,2014
154,SEGID- 2817,2817,18944127,0.09560041,Existing Bike Lane, ,153.854746387664, ,ADC rec route,0, , , ,,,,2006
155,SEGID- 8738,8738,18944130,0.10137209,Existing Bike Lane, ,163.142363745347, ,ADC rec route,2009,Yes, , ,,,,2009
156,SEGID- 1424,1424,18944140,0.04329223,Existing Bike Lane, ,69.6722063884271,In Bound,ADC rec route,2009,Yes, , ,,,,2009
157,SEGID- 4408,4408,19015090,0.06099434,Existing Bike Lane, ,98.1610737314774,In Bound, ,2009,Yes, , ,,,,2009
158,SEGID- 1596,1596,19015100,0.0562035,Existing Bike Lane, ,90.4507140737745,In Bound, ,2009,Yes, , ,,,,2009
159,SEGID- 9303,9303,19015110,0.05655011,Existing Bike Lane, ,91.0089737560156,In Bound, ,2009,Yes, , ,,,,2009
160,SEGID- 9544,9544,19015120,0.04023501,Existing Bike Lane, ,64.7521196905581,In Bound, ,2009,Yes, , ,,,,2009
161,SEGID- 9527,9527,19015125,0.04248952,Existing Bike Lane, ,68.3803915945269,In Bound, ,2009,Yes, , ,,,,2009
162,SEGID- 12172,12172,19015130,0.12566744,Existing Bike Lane, ,202.242542934611,In Bound, ,2009,Yes, , ,,,,2009
163,SEGID- 2206,2206,20030170,0.05078504,Existing Bike Lane, ,81.7307772840035,Out Bound,existing bike route,2013, , , ,,,,2013
164,SEGID- 1308,1308,20030175,0.05128809,Existing Bike Lane, ,82.5403499309353,Out Bound,existing bike route,2013, , , ,,,,2013
165,SEGID- 8144,8144,20030180,0.05107768,Existing Bike Lane, ,82.201723733612,Out Bound,existing bike route,2013, , , ,,,,2013
166,SEGID- 7774,7774,20030185,0.05122644,Existing Bike Lane, ,82.4411365031365,Out Bound,existing bike route,2013, , , ,,,,2013
167,SEGID- 8755,8755,26539140,0.0576312,Existing Bike Lane, ,92.7491097289041, , ,0, , , ,,,,2007
168,SEGID- 3504,3504,26539143,0.05576712,Existing Bike Lane, ,89.7485142560809, , ,0, , , ,,,,2007
169,SEGID- 4707,4707,26539150,0.08705069,Existing Bike Lane, ,140.09464668399, , ,0, , , ,,,,2007
170,SEGID- 9552,9552,26539160,0.05354058,Existing Bike Lane, ,86.1650724556904, , ,0, , , ,,,,2007
171,SEGID- 1833,1833,19015140,0.14360681,Existing Bike Lane, ,231.11327426194,In Bound, ,2009,Yes, , ,,,,2009
172,SEGID- 10134,10134,15785173,0.0302393,Cycle Track,Yes,48.6652896952654,Out Bound, ,2014,Yes, , ,,,,2014
173,SEGID- 7809,7809,15785180,0.09499484,Cycle Track,Yes,152.879659915807,Out Bound, ,2014,Yes, , ,,,,2014
174,SEGID- 11513,11513,15785190,0.07806009,Cycle Track,Yes,125.625805784433,Out Bound, ,2014,Yes, , ,,,,2014
175,SEGID- 7498,7498,15785200,0.09444947,Cycle Track,Yes,152.002551882787,Out Bound, ,2014,Yes, , ,,,,2014
176,SEGID- 12950,12950,15785210,0.04991868,Cycle Track,Yes,80.336280330984,Out Bound, ,2014,Yes, , ,,,,2014
177,SEGID- 13043,13043,15785230,0.07001839,Cycle Track,Yes,112.684247712417,Out Bound, ,2014,Yes, , ,,,,2014
178,SEGID- 2540,2540,15785240,0.1017523,Cycle Track,Yes,163.754855419494,Out Bound, ,2014,Yes, , ,,,,2014
179,SEGID- 1006,1006,15785250,0.07834035,Cycle Track,Yes,126.076380630318,Out Bound, ,2014,Yes, , ,,,,2014
180,SEGID- 5794,5794,15785260,0.12199253,Cycle Track,Yes,196.328095436076,Out Bound, ,2014,Yes, , ,,,,2014
181,SEGID- 5617,5617,17416060,0.06021268,Existing Bike Lane, ,96.9023878731252,Out Bound, ,0, , , ,,,,2004
182,SEGID- 10428,10428,17416067,0.0488076,Existing Bike Lane, ,78.5486552827805,Out Bound, ,0, , , ,,,,2004
183,SEGID- 2491,2491,17416070,0.05535362,Existing Bike Lane, ,89.0831951242501,Out Bound, ,0, , , ,,,,2004
184,SEGID- 13015,13015,20020175,0.05092753,Existing Bike Lane, ,81.9600708648847,In Bound,existing bike route,2013, , , ,,,,2013
185,SEGID- 3484,3484,17416010,0.06199775,Shared Lane, ,99.7759302272202, , ,2012, , , ,,,,2012
186,SEGID- 6001,6001,34777005,0.08578671,Existing Bike Lane, ,138.060608330815, ,"1975 plan, ADC rec route",2012,Yes, , ,,,,2012
187,SEGID- 10811,10811,34777010,0.03749113,Existing Bike Lane, ,60.3362421062756, ,"1975 plan, ADC rec route",2012,Yes, , ,,,,2012
188,SEGID- 7595,7595,23861020,0.07906492,Contraflow Bike Lane, ,127.242907001243, , ,2014, , , ,,,,2014
189,SEGID- 1150,1150,23861030,0.07873441,Contraflow Bike Lane, ,126.710983647169, , ,2014, , , ,,,,2014
190,SEGID- 399,399,23861040,0.05758932,Contraflow Bike Lane, ,92.6812133434117,In Bound, ,2014, , , ,,,,2014
191,SEGID- 8535,8535,23861050,0.0572102,Contraflow Bike Lane, ,92.0710938658394,In Bound, ,2014, , , ,,,,2014
192,SEGID- 3265,3265,23861060,0.12289593,Contraflow Bike Lane, ,197.782219771847,In Bound, ,2014, , , ,,,,2014
193,SEGID- 9157,9157,23861070,0.06505348,Contraflow Bike Lane, ,104.693614890368,In Bound, ,2014, , , ,,,,2014
194,SEGID- 1707,1707,23861080,0.03275291,Contraflow Bike Lane, ,52.7108191246738,In Bound, ,2014, , , ,,,,2014
195,SEGID- 12023,12023,23861085,0.03208807,Contraflow Bike Lane, ,51.6408399301882,In Bound, ,2014, , , ,,,,2014
196,SEGID- 4820,4820,23861100,0.06031062,Contraflow Bike Lane, ,97.0607423589921,In Bound, ,2014, , , ,,,,2014
197,SEGID- 13165,13165,23861110,0.06922748,Contraflow Bike Lane, ,111.411030236689,In Bound, ,2014, , , ,,,,2014
198,SEGID- 11924,11924,23861120,0.10460202,Contraflow Bike Lane, ,168.340967798796,In Bound, ,2014, , , ,,,,2014
199,SEGID- 9000,9000,20010060,0.1458047,Cycle Track,Yes,234.649973593057, ,existing bike route,2015,yes, , ,,,,2015
200,SEGID- 8451,8451,20010070,0.04640654,Cycle Track,Yes,74.6844290395068, ,existing bike lane,0, , ,2001 for original bike lane,,,,2014
201,SEGID- 7950,7950,20010100,0.0840093,Cycle Track,Yes,135.200131198645, ,Sebastian planned lanes,2014, , , ,,,,2014
202,SEGID- 297,297,20010110,0.0658031,Cycle Track,Yes,105.900029363131, ,Sebastian planned lanes,2014, , , ,,,,2014
