,TOTAL_BICYCLES,TOTAL_VEHICLES,TOTAL_PEDESTRIANS,LATITUDE,LONGITUDE,XCOORD,YCOORD,FATAL_BICYCLIST,MPDLATITUDE,MPDLONGITUDE,FROMDATE,NEARESTINTSTREETNAME,NEARESTINTROUTEID,OFFINTERSECTION
6716,1,1,0,38.908594,-77.00389399999999,399662.29600000003,137859.28699999998,0,38.908773,-77.004343,2018-10-19 04:00:00+00:00,NEW YORK AVE NE,12064672,25.67
6726,1,1,0,38.907241,-77.038045,396700.184,137709.765,0,38.907049,-77.03805,2017-05-15 04:00:00+00:00,BATAAN ST NW,11013942,39.6042952
6934,1,2,0,38.902939,-77.021919,398098.734,137231.76,0,38.902939,-77.021919,2018-10-17 04:00:00+00:00,7TH ST NW & NEW YORK AVE NW,11000702,0.02
6945,1,1,0,38.898694,-76.97653000000001,402035.899,136760.51,0,38.898718,-76.976649,2018-10-17 04:00:00+00:00,BENNING RD NE,12015342,26.4854435
7086,1,1,0,38.905646999999995,-77.02703699999999,397654.87,137532.53,0,38.905648,-77.02703699999999,2018-10-16 04:00:00+00:00,M ST NW,11057852,0.09188980000000001
7283,1,1,0,38.889806,-76.995102,400424.936,135773.635,0,38.889815000000006,-76.995102,2018-10-19 04:00:00+00:00,8TH ST NE,12000802,12.1596715
7321,1,1,0,38.904077,-76.98109699999999,401639.593,137358.059,0,38.902584999999995,-76.981748,2018-10-18 04:00:00+00:00,BLADENSBURG RD NE,12015992,173.46498469999997
7357,1,1,0,38.935202000000004,-76.963447,403169.227,140813.63199999998,0,38.935202000000004,-76.963447,2017-05-14 04:00:00+00:00,OTIS ST NE,12068052,0.047945
7389,1,1,0,38.903477,-77.049235,395729.367,137292.397,0,38.903415,-77.049132,2017-05-10 04:00:00+00:00,22ND ST NW,11002202,44.2785007
7482,1,1,0,38.905664,-77.041125,396432.906,137534.797,0,38.905777,-77.041256,2019-05-29 04:00:00+00:00,CONNECTICUT AVE NW,11025152,16.9440236
7618,1,1,0,38.918957,-77.034724,396988.667,139010.189,0,38.918948,-77.03470300000001,2017-04-07 04:00:00+00:00,15TH ST NW,11001502,21.7093841
7644,1,1,0,38.908747999999996,-77.067839,394116.07,137878.55,0,38.908747999999996,-77.067839,2017-05-16 04:00:00+00:00,P ST NW,11068382,0.8220408000000001
7683,1,1,0,38.960409000000006,-77.086214,392527.79,143614.69400000002,0,38.960543,-77.086218,2018-09-03 04:00:00+00:00,WISCONSIN AVE NW,11094052,49.744621
7718,1,1,0,38.87692,-76.930516,406029.281,134345.547,0,38.875995,-76.930869,2019-08-17 04:00:00+00:00,SOUTHERN AVE SE,13081512,11.94
7789,1,1,0,38.877369,-77.01436600000001,398753.473,134393.186,0,38.87737,-77.014333,2017-05-19 04:00:00+00:00,L ST SW,14053492,18.5828674
7851,1,1,0,38.904785,-77.016449,398573.26399999997,137436.56900000002,0,38.92824,-77.019329,2018-03-12 04:00:00+00:00,4TH ST NW,11000402,27.518015600000002
8147,1,1,0,38.901548999999996,-77.02574399999999,397766.999,137077.339,0,38.901548999999996,-77.02574399999999,2017-04-03 04:00:00+00:00,10TH ST NW,11001002,23.1692639
8229,1,1,0,38.917119,-77.038533,396663.578,138806.307,0,38.917119,-77.038533,2017-04-03 04:00:00+00:00,U ST NW,11087232,13.8676348
8249,1,1,0,38.909644,-77.026248,397723.453,137976.18,0,38.909493,-77.026247,2018-09-06 04:00:00+00:00,10TH ST NW,11001002,28.003418800000002
8519,1,1,0,38.9206,-77.02172900000001,398091.895,139189.616,0,38.9206,-77.02172900000001,2017-04-04 04:00:00+00:00,BARRY PL NW,11013652,49.301017
8556,1,1,1,38.919129999999996,-77.034609,396998.656,139029.399,0,38.919129999999996,-77.034609,2017-04-05 04:00:00+00:00,FLORIDA AVE NW,11036722,0.0773412
8739,1,1,0,38.899062,-77.053873,395326.802,136802.512,0,38.899045,-77.05381899999999,2018-09-08 04:00:00+00:00,25TH ST NW,11002502A,11.27
8774,1,1,0,38.923344,-77.039006,396617.55100000004,139497.41199999998,0,38.923190000000005,-77.039105,2018-09-08 04:00:00+00:00,EUCLID ST NW,11033862,10.07
8791,1,1,0,38.915681,-76.993555,400559.22799999994,138632.285,0,38.915681,-76.993555,2017-04-03 04:00:00+00:00,9TH ST NE,12000902,21.9022474
8857,1,1,0,38.934445000000004,-76.992562,400644.88,140728.962,0,38.934540000000005,-76.992678,2018-06-08 04:00:00+00:00,10TH ST NE,12001002,15.8192645
9027,1,1,0,38.887567,-77.015178,398683.17299999995,135525.21300000002,0,38.887567,-77.015178,2017-03-31 04:00:00+00:00,INDEPENDENCE AVE SW,14047972,0.0797211
9128,1,1,0,38.907839,-77.0386,396661.097,137776.12,0,38.907839,-77.0386,2017-03-31 04:00:00+00:00,MASSACHUSETTS AVE NW,11059602,13.1888256
9165,1,2,0,38.933776,-77.026197,397728.62799999997,140654.968,0,38.933739,-77.025993,2018-06-07 04:00:00+00:00,ROCK CREEK CHURCH RD NW,11076702,20.2171094
9588,1,1,0,38.922329,-77.043767,396204.652,139384.865,0,38.922439000000004,-77.04345699999999,2019-05-11 04:00:00+00:00,COLUMBIA RD NW,11024632,29.465430600000005
9593,1,1,0,38.904773999999996,-77.060461,394755.761,137436.992,0,38.905124,-77.059916,2017-04-01 04:00:00+00:00,THOMAS JEFFERSON ST NW 1,11085862,43.6139935
9782,1,1,0,38.939989000000004,-76.980151,401720.83,141344.62,0,38.939747,-76.980065,2018-09-06 04:00:00+00:00,SHEPHERD ST NE,12079562,20.3875027
9784,1,1,0,38.926453,-77.008481,399264.638,139841.775,0,38.926737,-77.008531,2018-09-06 04:00:00+00:00,MICHIGAN AVE NE,12060582,1.5838886
9964,1,1,0,38.900317,-76.9882,401014.162,136940.50699999998,0,38.900317,-76.9882,2017-04-02 04:00:00+00:00,H ST NE,12042442,15.9227491
9968,1,1,0,38.903845000000004,-76.995051,400437.174,137332.137,0,38.903845000000004,-76.995051,2017-04-02 04:00:00+00:00,L ST NE,12053492,15.5667331
10007,1,1,0,38.909638,-77.043438,396232.50299999997,137976.022,0,38.910365999999996,-77.042785,2018-08-05 04:00:00+00:00,DUPONT CIR NW,11031202,87.0989306
10237,1,1,0,38.909639,-77.012411,398923.531,137975.391,0,38.909542,-77.012252,2018-09-04 04:00:00+00:00,1ST ST NW,11000102,13.3155511
10250,1,1,0,38.899814,-77.022948,398009.37299999996,136884.867,0,38.899814,-77.022948,2017-04-10 04:00:00+00:00,H ST NW,11042442,0.0273351
10318,1,1,0,38.901322,-76.992643,400638.13,137052.04,0,38.901322,-76.992643,2018-09-14 04:00:00+00:00,I ST NE,12047772,0.051498
10450,1,1,0,38.905721,-77.044147,396170.785,137541.277,0,38.905721,-77.04414799999999,2017-04-12 04:00:00+00:00,M ST NW,11057852,7.5480243
10455,1,1,0,38.923395,-77.054097,395308.99299999996,139503.65300000002,0,38.923359999999995,-77.05409300000001,2017-04-12 04:00:00+00:00,24TH ST NW,11002402,130.2004762
10571,1,1,0,38.914233,-77.01459799999999,398733.98600000003,138485.324,0,38.914048,-77.01528499999999,2018-09-15 04:00:00+00:00,S ST NW,11077672,61.0631964
10633,1,1,0,38.905309,-77.04747900000001,395881.778,137495.732,0,38.90531,-77.04747900000001,2018-09-15 04:00:00+00:00,NEW HAMPSHIRE AVE NW,11064222,0.09
10670,1,1,0,38.889206,-76.925678,406447.963,135709.69,0,38.889212,-76.92585600000001,2018-09-17 04:00:00+00:00,53RD ST SE,13005302,6.8178114
10814,1,1,0,38.914093,-77.032207,397206.77,138470.202,0,38.912659999999995,-77.032162,2018-09-16 04:00:00+00:00,14TH ST NW,11001402,160.20658669999997
11370,1,1,0,38.897339,-77.00989100000001,399142.013,136609.935,0,38.897658,-77.008847,2017-07-23 04:00:00+00:00,MASSACHUSETTS AVE NE & NORTH CAPITOL ST BN,12059602,28.18
11675,1,1,0,38.905025,-77.069897,393937.29799999995,137465.448,0,38.90563,-77.075384,2017-04-09 04:00:00+00:00,CANAL RD NW,11020212,341.5164515
11680,1,1,0,38.911124,-77.036518,396832.82,138140.75199999998,0,38.911124,-77.036518,2017-04-09 04:00:00+00:00,Q ST NW,11072862,0.0624691
11736,1,1,0,38.916802000000004,-77.031894,397229.115,138770.911,0,38.916802000000004,-77.031894,2017-04-01 04:00:00+00:00,U ST NW,11087232,22.2842218
11893,1,1,0,38.864196,-76.985885,401224.99,132930.85,0,38.864196,-76.985885,2018-09-13 04:00:00+00:00,14TH ST SE,13001402,0.03
11900,1,2,0,38.917157,-77.031951,397229.14200000005,138810.314,0,38.917157,-77.032012,2017-04-10 04:00:00+00:00,U ST NW,11087232,18.455041
11905,1,1,0,38.915735999999995,-77.02173,398115.43,138652.27,0,38.915735999999995,-77.02173,2018-09-13 04:00:00+00:00,,,
11923,1,1,0,38.905157,-77.06371,394473.915,137479.659,0,38.905145000000005,-77.0645,2018-09-13 04:00:00+00:00,POTOMAC ST NW,11071952,59.0471037
11925,1,1,0,38.954082,-77.027734,397596.06,142909.2,0,38.954082,-77.027734,2018-09-13 04:00:00+00:00,INGRAHAM ST NW,11048422,0.033446
12045,1,2,0,38.932738,-77.024436,397881.284,140539.747,0,38.932753999999996,-77.024265,2017-04-19 04:00:00+00:00,PARK RD NW,11068902,24.268837899999998
12053,1,1,0,38.905111,-77.057653,394999.32399999996,137474.16199999998,0,38.904944,-77.05772900000001,2017-04-19 04:00:00+00:00,29TH ST NW,11002902,41.9932618
12100,1,1,0,38.902515,-77.003569,399690.43,137184.48,0,38.902515,-77.003569,2018-09-23 04:00:00+00:00,2ND ST NE,12000202,0.01
12143,1,1,0,38.881465999999996,-76.933025,405811.19700000004,134849.962,0,38.881457,-76.933049,2017-04-19 04:00:00+00:00,G ST SE,13038612,3.0916892999999996
12210,1,1,0,38.904788,-77.043452,396231.066,137437.699,0,38.904788,-77.043399,2017-04-19 04:00:00+00:00,M ST NW,11057852,96.3424453
12219,1,1,0,38.89735,-77.027128,397646.739,136611.432,0,38.8974,-77.027128,2017-04-19 04:00:00+00:00,11TH ST NW,11001102,8.200200099999998
12331,1,1,0,38.894341,-77.025987,397745.605,136277.378,0,38.894338,-77.02601999999999,2018-09-24 04:00:00+00:00,PENNSYLVANIA AVE NW,11069812,11.8524203
12424,1,1,0,38.867649,-76.988789,400972.93799999997,133314.06900000002,0,38.8677,-76.988647,2017-04-20 04:00:00+00:00,MARTIN LUTHER KING JR AVE SE,13059452,29.437741
12469,1,1,0,38.902442,-77.03466999999999,396992.65,137176.959,0,38.902414,-77.03464699999999,2018-09-05 04:00:00+00:00,15TH ST NW,11001502,12.989755800000001
12513,1,1,0,38.904409,-77.009069,399213.349,137394.744,0,38.904409,-77.009034,2017-04-20 04:00:00+00:00,PIERCE ST NE,12070262,30.5011347
12536,1,1,0,38.909643,-77.044887,396106.875,137976.673,0,38.909643,-77.044887,2017-04-20 04:00:00+00:00,P ST NW,11068382,0.030155200000000004
12550,1,1,0,38.902682,-77.01990699999999,398273.274,137203.18099999998,0,38.902682,-77.019929,2017-04-20 04:00:00+00:00,K ST NW,11050892,17.923228299999998
12707,1,1,0,38.923269,-77.056313,395116.81799999997,139489.866,0,38.923214,-77.056145,2019-11-05 05:00:00+00:00,CALVERT ST NW,11020022,9.67
13219,1,1,0,38.931953,-77.023565,397949.495,140451.792,0,38.931953,-77.023565,2017-04-16 04:00:00+00:00,MORTON ST NW,11062402,12.763599099999999
13227,1,1,0,38.920158,-77.02010200000001,398256.755,139143.216,0,38.920008,-77.019125,2018-04-18 04:00:00+00:00,4TH ST NW,11000402,102.954012
13283,1,1,0,38.931283,-77.022993,398006.842,140374.292,0,38.931283,-77.022993,2017-04-16 04:00:00+00:00,GEORGIA AVE NW,11040042,48.466633200000004
13317,1,1,0,38.927646,-77.032738,397162.124,139961.641,0,38.927646,-77.032738,2017-04-17 04:00:00+00:00,14TH ST NW,11001402,22.630777399999996
13335,1,1,1,38.898573,-77.031953,397228.2,136747.30599999998,0,38.899256,-77.031863,2018-09-18 04:00:00+00:00,NEW YORK AVE NW,11064672,17.0233561
13485,1,1,0,38.978356,-77.026595,397695.555,145603.826,0,38.977996000000005,-77.02659200000001,2018-09-19 04:00:00+00:00,FERN PL NW,11035362,37.0226281
13499,1,2,0,38.873253000000005,-77.01083299999999,399059.946,133936.143,0,38.872994,-77.01068599999999,2018-09-21 04:00:00+00:00,HALF ST SW,14000052,4.89
13567,1,1,0,38.912113,-77.04802600000001,395834.75899999996,138251.053,0,38.911706,-77.04861600000001,2018-09-21 04:00:00+00:00,22ND ST NW,11002202,12.471957699999999
13929,1,1,0,38.91557,-77.031735,397247.82700000005,138634.154,0,38.915431,-77.031733,2017-04-18 04:00:00+00:00,14TH ST NW,11001402,19.1251775
13955,1,1,0,38.923532,-77.05144399999999,395539.045,139518.779,0,38.923556,-77.051445,2017-04-18 04:00:00+00:00,CONNECTICUT AVE NW,11025152,6.0272001
14147,1,1,0,38.982040000000005,-77.026624,397693.22,146012.72199999998,0,38.982052,-77.026628,2017-04-28 04:00:00+00:00,GEORGIA AVE NW,11040042,7.303278999999999
14154,1,1,0,38.954681,-77.004592,399602.01200000005,142975.335,0,38.954681,-77.004589,2017-04-28 04:00:00+00:00,INGRAHAM ST NE,12048422,27.1329783
14258,2,2,0,38.884559,-76.93563499999999,405584.439,135193.171,0,38.884471999999995,-76.935603,2018-05-22 04:00:00+00:00,BENNING RD SE,13015342,28.86
14378,1,1,0,38.878568,-76.98550999999999,401257.294,134526.23,0,38.878568,-76.985562,2017-04-29 04:00:00+00:00,K ST SE,13050892,19.509795
14490,1,1,0,38.943996000000006,-77.032474,397184.781,141789.74800000002,0,38.944168,-77.032738,2018-10-05 04:00:00+00:00,14TH ST NW,11001402,19.1705556
14589,1,1,0,38.919364,-77.017935,398444.684,139055.02300000002,0,38.919406,-77.01794100000001,2017-04-30 04:00:00+00:00,4TH ST NW,11000402,7.2012727
14839,1,1,0,38.892125,-77.04078299999999,396461.94,136031.919,0,38.892173,-77.040757,2019-05-28 04:00:00+00:00,CONSTITUTION AVE NW,11025352,10.75
14880,1,1,1,38.893481,-77.022553,398043.519,136181.813,0,38.893404,-77.02299000000001,2018-12-04 05:00:00+00:00,7TH ST NW,11000702,93.6938734
14940,1,1,0,38.918468,-77.058706,394908.965,138956.953,0,38.918504999999996,-77.058757,2017-05-01 04:00:00+00:00,MASSACHUSETTS AVE NW,11059602,35.45408079999999
15153,1,1,0,38.936081,-77.03330799999999,397112.18799999997,140911.141,0,38.936025,-77.033056,2017-04-25 04:00:00+00:00,PERRY PL NW,11069872,47.974737
