,TOTAL_BICYCLES,TOTAL_VEHICLES,TOTAL_PEDESTRIANS,LATITUDE,LONGITUDE,XCOORD,YCOORD,FATAL_BICYCLIST,MPDLATITUDE,MPDLONGITUDE,FROMDATE,STREETSEGID,ROUTEID,NEARESTINTSTREETNAME,NEARESTINTROUTEID,OFFINTERSECTION
740,1,1,0,38.918037,-77.02469599999999,397858.32700000005,138907.845,0,38.918012,-77.024649,2017-04-23 04:00:00+00:00,680.0,11089442,V ST NW,11088462,10.8734316
801,1,1,0,38.90331,-77.02143199999999,398140.987,137272.949,0,38.903312,-77.021621,2018-04-05 04:00:00+00:00,-9.0,47085862,NEW YORK AVE NW,11064672,33.671030200000004
821,1,1,0,38.903721000000004,-77.00588499999999,399489.49799999996,137318.341,0,38.903721000000004,-77.005894,2018-09-28 04:00:00+00:00,7950.0,12000102,L ST NE,12053492,1.5150911
848,1,1,0,38.905262,-77.04815699999999,395823.02,137490.546,0,38.905406,-77.04803000000001,2018-12-03 05:00:00+00:00,1366.0,11057852,NEW HAMPSHIRE AVE NW,11064222,48.972595399999996
1031,1,1,0,38.909638,-77.043438,396232.50299999997,137976.022,0,38.909402,-77.04266199999999,2017-04-26 04:00:00+00:00,164.0,11025152,DUPONT CIR NW,11031202,52.95728979999999
1108,1,1,0,38.936081,-77.03330799999999,397112.18799999997,140911.141,0,38.936025,-77.033056,2017-04-25 04:00:00+00:00,-9.0,47068102,PERRY PL NW,11069872,47.974737
1308,1,1,0,38.919178,-77.012149,398946.43,139034.2,0,38.919178,-77.012149,2017-04-26 04:00:00+00:00,10744.0,11000102,W ST NW,11090152,0.08694210000000001
1409,1,2,0,38.907317,-77.00915,399206.354,137717.5,0,38.907278000000005,-77.009128,2017-04-26 04:00:00+00:00,8124.0,11064672,N ST NE,12063182,10.347744699999998
1417,1,1,0,38.922546000000004,-77.07088399999999,393853.18,139410.41,0,38.922546000000004,-77.07088399999999,2018-09-29 04:00:00+00:00,3581.0,11003602,CALVERT ST NW,11020022,0.07068350000000001
1509,1,1,0,38.878752,-76.964765,403057.333,134547.18099999998,0,38.878544,-76.964795,2018-06-06 04:00:00+00:00,7309.0,13003002,K ST SE,13050892,19.2350831
1646,1,1,0,38.923124,-76.990195,400850.223,139472.241,0,38.923124,-76.990195,2018-10-02 04:00:00+00:00,11672.0,12001202,RHODE ISLAND AVE NE,12075462,0.067044
1685,1,1,0,38.91207,-77.012048,398955.096,138245.245,1,38.912189,-77.011965,2017-04-28 04:00:00+00:00,4999.0,11036722,1ST ST NW,11000102,18.485821100000003
1754,1,1,0,38.913259000000004,-77.03459000000001,396985.86,138344.957,0,38.913259000000004,-77.03459000000001,2018-10-01 04:00:00+00:00,-9.0,47072622,15TH ST NW,11001502,32.948369
1774,1,1,0,38.927176,-77.00589699999999,399488.67799999996,139922.054,0,38.926911,-77.00638199999999,2018-10-01 04:00:00+00:00,2623.0,12060582,FRANKLIN ST NE,12038092,13.3866964
1851,1,1,0,38.923233,-77.046468,395970.499,139485.83,0,38.923233,-77.046468,2017-04-28 04:00:00+00:00,12258.0,11020022,BILTMORE ST NW,11015732A,75.6092853
2030,1,1,0,38.982040000000005,-77.026624,397693.22,146012.72199999998,0,38.982052,-77.026628,2017-04-28 04:00:00+00:00,8715.0,11079492,GEORGIA AVE NW,11040042,7.303278999999999
2037,1,1,0,38.954681,-77.004592,399602.01200000005,142975.335,0,38.954681,-77.004589,2017-04-28 04:00:00+00:00,14176.0,12000132,INGRAHAM ST NE,12048422,27.1329783
2046,1,1,0,38.903739,-77.037291,396765.406,137320.992,0,38.903721999999995,-77.036602,2018-10-02 04:00:00+00:00,8412.0,11053492,L ST NW,11053492,5.82
2085,1,1,1,38.893481,-77.022553,398043.519,136181.813,0,38.893404,-77.02299000000001,2018-12-04 05:00:00+00:00,10325.0,11069812,7TH ST NW,11000702,93.6938734
2206,1,1,0,38.878568,-76.98550999999999,401257.294,134526.23,0,38.878568,-76.985562,2017-04-29 04:00:00+00:00,4899.0,13001402,K ST SE,13050892,19.509795
2415,1,1,0,38.915988,-77.029329,397456.49700000003,138680.522,0,38.916033,-77.029328,2018-10-05 04:00:00+00:00,-9.0,47074442,13TH ST NW,11001302,26.2121846
2452,1,1,0,38.892125,-77.04078299999999,396461.94,136031.919,0,38.892173,-77.040757,2019-05-28 04:00:00+00:00,15443.0,11089892,CONSTITUTION AVE NW,11025352,10.75
2568,1,1,0,38.919818,-77.00057,399950.566,139105.239,0,38.919818,-77.00059300000001,2017-04-30 04:00:00+00:00,7933.0,12000402,RHODE ISLAND AVE NE,12075462,7.314673299999999
2645,1,1,0,38.918468,-77.058706,394908.965,138956.953,0,38.918504999999996,-77.058757,2017-05-01 04:00:00+00:00,9840.0,11076572,MASSACHUSETTS AVE NW,11059602,35.45408079999999
2686,1,1,0,38.93612,-77.029728,397422.62100000004,140915.316,0,38.93612,-77.02994,2017-05-03 04:00:00+00:00,1562.0,11001302,SPRING RD NW,11081832,26.1191879
2776,1,1,0,38.896232,-77.03246800000001,397183.44,136487.49,0,38.896111,-77.032025,2018-10-05 04:00:00+00:00,4060.0,11069812,14TH ST NW,11001402,5.5304965
2827,1,1,0,38.899206,-77.027035,397654.84,136817.471,0,38.899206,-77.027034,2017-05-01 04:00:00+00:00,10495.0,11001102,H ST NW,11042442,67.7628891
2970,1,1,0,38.95476,-77.009046,399215.88700000005,142984.12300000002,0,38.95476,-77.009078,2017-04-05 04:00:00+00:00,3428.0,15065322,MISSOURI AVE NW,11061362,6.734304799999999
2981,1,1,0,38.933440000000004,-76.99979499999999,400017.749,140617.428,0,38.940695,-76.996687,2018-10-07 04:00:00+00:00,-9.0,58001272,,,-999.0
3045,1,1,0,38.905025,-77.069897,393937.29799999995,137465.448,0,38.90563,-77.075384,2017-04-09 04:00:00+00:00,7387.0,11057852,CANAL RD NW,11020212,341.5164515
3138,1,1,0,38.905157,-77.06371,394473.915,137479.659,0,38.905145000000005,-77.0645,2018-09-13 04:00:00+00:00,7676.0,11057852,POTOMAC ST NW,11071952,59.0471037
3140,1,1,0,38.954082,-77.027734,397596.06,142909.2,0,38.954082,-77.027734,2018-09-13 04:00:00+00:00,7567.0,11040042,INGRAHAM ST NW,11048422,0.033446
3144,1,1,0,38.905309,-77.04747900000001,395881.778,137495.732,0,38.90531,-77.04747900000001,2018-09-15 04:00:00+00:00,252.0,11064222,NEW HAMPSHIRE AVE NW,11064222,0.09
3175,1,2,0,38.897177,-77.05041700000001,395626.43200000003,136593.128,0,38.896335,-77.050139,2017-04-12 04:00:00+00:00,-9.0,21089891,23RD ST NW,11002302,75.97469840000001
3202,1,1,0,38.896675,-76.95121800000001,404231.73299999995,136537.293,0,38.896741,-76.951305,2017-04-12 04:00:00+00:00,1272.0,12051802,FOOTE ST NE,12036792,157.22536499999998
3314,1,1,0,38.905172,-77.06303199999999,394532.74799999996,137481.255,0,38.905275,-77.062983,2018-09-16 04:00:00+00:00,7676.0,11057852,WISCONSIN AVE NW,11094052,18.4551903
3484,1,1,0,38.923395,-77.054097,395308.99299999996,139503.65300000002,0,38.923359999999995,-77.05409300000001,2017-04-12 04:00:00+00:00,10948.0,11020022,24TH ST NW,11002402,130.2004762
3513,1,2,0,38.908377,-77.003385,399706.36799999996,137835.22199999998,0,38.908377,-77.003385,2019-08-19 04:00:00+00:00,,12000202,2ND ST NE & METROPOLITAN BRANCH TRAIL NE,12000202,0.04
3542,1,2,0,38.934298,-77.02405300000001,397919.88899999997,140713.532,0,38.934298,-77.02405300000001,2017-04-15 04:00:00+00:00,4544.0,11040042,OTIS PL NW,11067992,14.824211499999999
3629,1,1,0,38.902515,-77.003569,399690.43,137184.48,0,38.902515,-77.003569,2018-09-23 04:00:00+00:00,10999.0,12000202,2ND ST NE,12000202,0.01
3642,1,2,0,38.932738,-77.024436,397881.284,140539.747,0,38.932753999999996,-77.024265,2017-04-19 04:00:00+00:00,-9.0,47041742,PARK RD NW,11068902,24.268837899999998
3650,1,1,0,38.905111,-77.057653,394999.32399999996,137474.16199999998,0,38.904944,-77.05772900000001,2017-04-19 04:00:00+00:00,6576.0,11069812,29TH ST NW,11002902,41.9932618
3827,1,1,0,38.902442,-77.03466999999999,396992.65,137176.959,0,38.902414,-77.03464699999999,2018-09-05 04:00:00+00:00,-9.0,21050891,15TH ST NW,11001502,12.989755800000001
3936,1,1,0,38.904409,-77.009069,399213.349,137394.744,0,38.904409,-77.009034,2017-04-20 04:00:00+00:00,9974.0,15065322,PIERCE ST NE,12070262,30.5011347
3949,1,1,0,38.909643,-77.044887,396106.875,137976.673,0,38.909643,-77.044887,2017-04-20 04:00:00+00:00,12906.0,11002002,P ST NW,11068382,0.030155200000000004
4203,1,1,0,38.907839,-77.0386,396661.097,137776.12,0,38.907839,-77.0386,2017-03-31 04:00:00+00:00,10230.0,11001702,MASSACHUSETTS AVE NW,11059602,13.1888256
4302,1,1,0,38.922329,-77.043767,396204.652,139384.865,0,38.922439000000004,-77.04345699999999,2019-05-11 04:00:00+00:00,7074.0,11015732,COLUMBIA RD NW,11024632,29.465430600000005
4307,1,1,0,38.904773999999996,-77.060461,394755.761,137436.992,0,38.905124,-77.059916,2017-04-01 04:00:00+00:00,-9.0,47072292,THOMAS JEFFERSON ST NW 1,11085862,43.6139935
4555,1,1,0,38.916884,-77.026942,397655.20200000005,138779.928,0,38.916884,-77.026942,2017-04-02 04:00:00+00:00,2097.0,11001102,U ST NW,11087232,15.2080726
4752,1,1,0,38.900317,-76.9882,401014.162,136940.50699999998,0,38.900317,-76.9882,2017-04-02 04:00:00+00:00,7304.0,12001302,H ST NE,12042442,15.9227491
4756,1,1,0,38.903845000000004,-76.995051,400437.174,137332.137,0,38.903845000000004,-76.995051,2017-04-02 04:00:00+00:00,3866.0,12000802,L ST NE,12053492,15.5667331
4835,1,1,0,38.939989000000004,-76.980151,401720.83,141344.62,0,38.939747,-76.980065,2018-09-06 04:00:00+00:00,5975.0,12001802,SHEPHERD ST NE,12079562,20.3875027
4837,1,1,0,38.926453,-77.008481,399264.638,139841.775,0,38.926737,-77.008531,2018-09-06 04:00:00+00:00,-9.0,47076882,MICHIGAN AVE NE,12060582,1.5838886
5087,1,1,0,38.881382,-77.026804,397674.27,134838.875,0,38.881334,-77.026836,2017-05-02 04:00:00+00:00,8505.0,14058502,12TH ST SW,14001202,11.0710545
5191,1,1,0,38.9002,-76.987539,401080.89700000006,136927.505,0,38.900171,-76.987771,2017-05-04 04:00:00+00:00,10010.0,12042442,H ST NE,12042442,46.73
5251,1,1,0,38.893295,-77.021919,398098.477,136161.2,0,38.893209999999996,-77.02199,2019-09-27 04:00:00+00:00,,11000702,7TH ST NW,11000702,11.24
5276,1,1,0,38.910055,-77.033292,397112.511,138021.99599999998,0,38.909603999999995,-77.033355,2018-04-23 04:00:00+00:00,-9.0,47087862,14TH ST NW 1,11001402,131.48781129999998
5362,1,1,0,38.904171000000005,-77.025887,397754.635,137368.641,0,38.895709000000004,-77.025812,2017-05-03 04:00:00+00:00,3521.0,11053492,10TH ST NW,11001002,8.7142144
5384,1,1,0,38.912887,-77.038483,396662.414,138336.522,0,38.912887,-77.038534,2017-05-03 04:00:00+00:00,6203.0,11001702,R ST NW,11074162,31.065346299999998
5415,1,1,0,38.889527,-76.993759,400541.44,135742.696,0,38.889526000000004,-76.993566,2018-08-23 04:00:00+00:00,9434.0,13000902,9TH ST NE,12000902,35.0156304
5448,1,1,0,38.931239,-77.012151,398946.398,140373.13,0,38.931239,-77.012151,2018-10-10 04:00:00+00:00,13874.0,11000102,IRVING ST NW,11048752,0.05
5452,1,1,0,38.907242,-77.029912,397405.547,137709.6,0,38.907185999999996,-77.031602,2018-10-10 04:00:00+00:00,8245.0,11063182,14TH ST NW,11001402,30.816627
5504,1,1,0,38.900774,-77.030341,397368.094,136991.573,0,38.901301000000004,-77.02974300000001,2018-10-10 04:00:00+00:00,-9.0,47061742,NEW YORK AVE NW,11064672,139.0518272
5594,1,1,0,38.915667,-77.020489,398223.105,138644.583,0,38.915803000000004,-77.020394,2018-10-09 04:00:00+00:00,8634.0,11036722,T ST NW,11084562,24.012740899999997
5686,1,1,0,38.960409000000006,-77.086214,392527.79,143614.69400000002,0,38.960543,-77.086218,2018-09-03 04:00:00+00:00,8899.0,11092692,WISCONSIN AVE NW,11094052,49.744621
5721,1,1,0,38.887567,-77.015178,398683.17299999995,135525.21300000002,0,38.887567,-77.015178,2017-03-31 04:00:00+00:00,8322.0,14000302,INDEPENDENCE AVE SW,14047972,0.0797211
5807,1,1,0,38.87692,-76.930516,406029.281,134345.547,0,38.875995,-76.930869,2019-08-17 04:00:00+00:00,,47056902,SOUTHERN AVE SE,13081512,11.94
5857,1,1,0,38.904785,-77.016449,398573.26399999997,137436.56900000002,0,38.92824,-77.019329,2018-03-12 04:00:00+00:00,7453.0,11064672,4TH ST NW,11000402,27.518015600000002
5977,1,2,0,38.933776,-77.026197,397728.62799999997,140654.968,0,38.933739,-77.025993,2018-06-07 04:00:00+00:00,589.0,11064222,ROCK CREEK CHURCH RD NW,11076702,20.2171094
6021,1,1,0,38.899062,-77.053873,395326.802,136802.512,0,38.899045,-77.05381899999999,2018-09-08 04:00:00+00:00,11833.0,11002502A,25TH ST NW,11002502A,11.27
6056,1,1,0,38.923344,-77.039006,396617.55100000004,139497.41199999998,0,38.923190000000005,-77.039105,2018-09-08 04:00:00+00:00,8714.0,11001702,EUCLID ST NW,11033862,10.07
6085,1,1,0,38.915681,-76.993555,400559.22799999994,138632.285,0,38.915681,-76.993555,2017-04-03 04:00:00+00:00,14656.0,12084562,9TH ST NE,12000902,21.9022474
6541,1,1,0,38.934445000000004,-76.992562,400644.88,140728.962,0,38.934540000000005,-76.992678,2018-06-08 04:00:00+00:00,11756.0,12068052,10TH ST NE,12001002,15.8192645
6639,1,1,0,38.943394,-77.01986600000001,398277.83700000006,141722.5,0,38.944224,-77.01863900000001,2018-09-10 04:00:00+00:00,6631.0,11041342,NEW HAMPSHIRE AVE NW,11064222,72.5623192
6676,1,1,0,38.912214,-77.012394,398925.11600000004,138261.223,0,38.912279,-77.01235,2017-04-07 04:00:00+00:00,2059.0,11036722,1ST ST NW,11000102,24.6066311
7030,1,1,0,38.904879,-77.01618,398596.56,137447.01,0,38.904676,-77.016108,2018-06-08 04:00:00+00:00,7453.0,11000402,NEW YORK AVE NW,11064672,23.366204800000002
7043,1,1,0,38.901548999999996,-77.02574399999999,397766.999,137077.339,0,38.901548999999996,-77.02574399999999,2017-04-03 04:00:00+00:00,7725.0,11064672,10TH ST NW,11001002,23.1692639
7159,1,1,0,38.917119,-77.038533,396663.578,138806.307,0,38.917119,-77.038533,2017-04-03 04:00:00+00:00,7013.0,11001702,U ST NW,11087232,13.8676348
7190,1,1,0,38.909644,-77.026248,397723.453,137976.18,0,38.909493,-77.026247,2018-09-06 04:00:00+00:00,1414.0,11068382,10TH ST NW,11001002,28.003418800000002
7394,1,1,0,38.9206,-77.02172900000001,398091.895,139189.616,0,38.9206,-77.02172900000001,2017-04-04 04:00:00+00:00,10152.0,11040042,BARRY PL NW,11013652,49.301017
7531,1,1,0,38.876872,-77.004305,399626.44899999996,134337.836,0,38.876357,-77.004137,2018-09-06 04:00:00+00:00,874.0,13064282,M ST SE 1,13057852,13.9219609
7544,1,2,0,38.963771,-77.016165,398599.02,143984.57,0,38.963771,-77.016165,2018-09-07 04:00:00+00:00,9506.0,11000302,3RD ST NW,11000302,0.02
7638,1,1,0,38.912107,-77.012303,398936.177,138255.399,0,38.912107,-77.012303,2017-04-04 04:00:00+00:00,2059.0,11036722,1ST ST NW,11000102,12.7130044
7849,1,1,1,38.919129999999996,-77.034609,396998.656,139029.399,0,38.919129999999996,-77.034609,2017-04-05 04:00:00+00:00,1195.0,11001502,FLORIDA AVE NW,11036722,0.0773412
7956,1,1,0,38.905664,-77.041125,396432.905,137534.8,0,38.905664,-77.041125,2017-01-04 05:00:00+00:00,10134.0,11025152,M ST NW,11057852,0.0677963
8086,1,1,0,38.901322,-76.992643,400638.13,137052.04,0,38.901322,-76.992643,2018-09-14 04:00:00+00:00,9525.0,12001002,I ST NE,12047772,0.051498
8125,1,1,0,38.924755,-77.029634,397430.33200000005,139653.745,0,38.924741,-77.029634,2017-04-10 04:00:00+00:00,1694.0,11034582,13TH ST NW,11001302,6.8936039000000005
8133,1,1,0,38.864196,-76.985885,401224.99,132930.85,0,38.864196,-76.985885,2018-09-13 04:00:00+00:00,5482.0,13001402,14TH ST SE,13001402,0.03
8140,1,2,0,38.917157,-77.031951,397229.14200000005,138810.314,0,38.917157,-77.032012,2017-04-10 04:00:00+00:00,3449.0,11001402,U ST NW,11087232,18.455041
8145,1,1,0,38.915735999999995,-77.02173,398115.43,138652.27,0,38.915735999999995,-77.02173,2018-09-13 04:00:00+00:00,,,,,
8206,1,1,0,38.909639,-77.012411,398923.531,137975.391,0,38.909542,-77.012252,2018-09-04 04:00:00+00:00,11414.0,11068382,1ST ST NW,11000102,13.3155511
8219,1,1,0,38.899814,-77.022948,398009.37299999996,136884.867,0,38.899814,-77.022948,2017-04-10 04:00:00+00:00,6751.0,11000802,H ST NW,11042442,0.0273351
8331,1,1,0,38.927775,-77.032549,397177.68100000004,139989.00400000002,0,38.927766,-77.032677,2017-04-11 04:00:00+00:00,5540.0,11001402,COLUMBIA RD NW,11024632,28.8547666
8518,1,1,0,38.914233,-77.01459799999999,398733.98600000003,138485.324,0,38.914048,-77.01528499999999,2018-09-15 04:00:00+00:00,-9.0,47023832,S ST NW,11077672,61.0631964
8609,1,1,0,38.905721,-77.044147,396170.785,137541.277,0,38.905721,-77.04414799999999,2017-04-12 04:00:00+00:00,-9.0,47084432,M ST NW,11057852,7.5480243
8929,1,1,0,38.904951000000004,-77.014607,398733.06,137455.011,0,38.90497,-77.014524,2017-04-13 04:00:00+00:00,11495.0,11064282,PIERCE ST NW,11070262,32.780317499999995
8963,1,1,0,38.914093,-77.032207,397206.77,138470.202,0,38.912659999999995,-77.032162,2018-09-16 04:00:00+00:00,2427.0,11077672,14TH ST NW,11001402,160.20658669999997
9256,1,1,0,38.905122999999996,-77.05769599999999,394995.566,137475.506,0,38.904957,-77.057772,2019-10-14 04:00:00+00:00,,11069812,29TH ST NW,11002902,32.12
9300,1,1,0,38.889206,-76.925678,406447.963,135709.69,0,38.889212,-76.92585600000001,2018-09-17 04:00:00+00:00,-9.0,47020512,53RD ST SE,13005302,6.8178114
9350,1,1,0,38.928179,-76.979,401820.896,140033.581,0,38.927653,-76.979074,2019-09-27 04:00:00+00:00,,12043032,RHODE ISLAND AVE NE,12075462,2.0
9360,1,1,0,38.908761,-76.985456,401265.027,137876.386,0,38.908761,-76.985456,2017-04-15 04:00:00+00:00,-9.0,47053862,RAUM ST NE,12074752,5.3962194000000006
9374,1,1,0,38.978356,-77.026595,397695.555,145603.826,0,38.977996000000005,-77.02659200000001,2018-09-19 04:00:00+00:00,-9.0,47041732,FERN PL NW,11035362,37.0226281
9385,1,1,0,38.904462,-77.045762,396030.646,137401.557,0,38.903921000000004,-77.046596,2018-09-19 04:00:00+00:00,-9.0,47003702,20TH ST NW,11002002,151.4970953
9452,1,1,1,38.898573,-77.031953,397228.2,136747.30599999998,0,38.899256,-77.031863,2018-09-18 04:00:00+00:00,91.0,11001402,NEW YORK AVE NW,11064672,17.0233561
9576,1,1,0,38.892131,-77.031439,397272.527,136027.434,0,38.892131,-77.031439,2017-04-16 04:00:00+00:00,8128.0,11025352,14TH ST NW,11001402,45.724453499999996
9615,1,1,0,38.931953,-77.023565,397949.495,140451.792,0,38.931953,-77.023565,2017-04-16 04:00:00+00:00,11996.0,11040042,MORTON ST NW,11062402,12.763599099999999
9662,1,1,0,38.931283,-77.022993,398006.842,140374.292,0,38.931283,-77.022993,2017-04-16 04:00:00+00:00,12647.0,11053752,GEORGIA AVE NW,11040042,48.466633200000004
9709,1,1,0,38.920158,-77.02010200000001,398256.755,139143.216,0,38.920008,-77.019125,2018-04-18 04:00:00+00:00,9042.0,11018722,4TH ST NW,11000402,102.954012
9810,1,1,0,38.932859,-77.021814,398103.87,140552.532,0,38.932859,-77.021814,2017-04-15 04:00:00+00:00,-9.0,47088242,PARK RD NW,11068902,16.4539505
9840,1,1,0,38.961062,-77.00933,399191.36,143683.74,0,38.962294,-77.01071999999999,2019-11-15 05:00:00+00:00,,11066752,BLAIR RD NW & KANSAS AVE NW,11016382,7.02
9993,1,1,0,38.971470000000004,-77.024478,397878.852,144839.354,0,38.972235999999995,-77.023671,2018-09-20 04:00:00+00:00,9966.0,11093272,8TH ST NW,11000802,99.39387959999999
10017,1,2,0,38.920587,-77.032066,397219.23799999995,139191.087,0,38.920456,-77.032039,2018-09-04 04:00:00+00:00,1294.0,11015012,BELMONT ST NW,11015012*1,23.56
10235,1,1,0,38.916802000000004,-77.031894,397229.115,138770.911,0,38.916802000000004,-77.031894,2017-04-01 04:00:00+00:00,8575.0,11001402,U ST NW,11087232,22.2842218
10283,1,1,0,38.897339,-77.00989100000001,399142.013,136609.935,0,38.897658,-77.008847,2017-07-23 04:00:00+00:00,3513.0,11034382,MASSACHUSETTS AVE NE & NORTH CAPITOL ST BN,12059602,28.18
10327,1,1,0,38.956277,-77.00952099999999,399174.72,143152.486,0,38.956258,-77.00948000000001,2017-04-08 04:00:00+00:00,3862.0,11064222,KENNEDY ST NW,11052062,39.6600071
10332,1,1,0,38.915301,-77.012155,398945.816,138603.86800000002,0,38.915301,-77.012132,2017-04-07 04:00:00+00:00,5278.0,11000102,T ST NW,11084562,25.2750953
10495,1,1,0,38.909638,-77.043438,396232.50299999997,137976.022,0,38.910365999999996,-77.042785,2018-08-05 04:00:00+00:00,164.0,11025152,DUPONT CIR NW,11031202,87.0989306
10508,1,1,0,38.911124,-77.036518,396832.82,138140.75199999998,0,38.911124,-77.036518,2017-04-09 04:00:00+00:00,3615.0,11001602,Q ST NW,11072862,0.0624691
11003,1,1,0,38.927646,-77.032738,397162.124,139961.641,0,38.927646,-77.032738,2017-04-17 04:00:00+00:00,11450.0,11024632,14TH ST NW,11001402,22.630777399999996
11031,1,1,0,38.899698,-77.009065,399213.652,136871.758,0,38.90033,-77.00914,2019-11-15 05:00:00+00:00,,15065322,NORTH CAPITOL ST BN & H ST NW,11042442,15.1
11102,1,1,0,38.907249,-77.043423,396233.703,137710.247,0,38.907249,-77.043423,2017-04-16 04:00:00+00:00,7775.0,11063182,19TH ST NW,11001902,1.9689375
11200,1,2,0,38.873253000000005,-77.01083299999999,399059.946,133936.143,0,38.872994,-77.01068599999999,2018-09-21 04:00:00+00:00,-9.0,47019362,HALF ST SW,14000052,4.89
11282,1,1,0,38.90939,-77.042716,396295.124,137948.49800000002,1,38.909894,-77.04415300000001,2018-09-21 04:00:00+00:00,8594.0,11031202,MASSACHUSETTS AVE NW,11059602,1.3793585
11290,1,1,1,38.894787,-77.007177,399377.394,136326.63,0,38.894787,-77.007177,2017-04-17 04:00:00+00:00,2441.0,12026912,DELAWARE AVE NE,12028662,0.012930700000000002
11326,1,1,0,38.881561,-77.02815600000001,397556.987,134858.795,0,38.883278999999995,-77.03196700000001,2019-08-23 04:00:00+00:00,,14001242,MAINE AVE SW,14058502,10.81
11556,1,1,0,38.91557,-77.031735,397247.82700000005,138634.154,0,38.915431,-77.031733,2017-04-18 04:00:00+00:00,8778.0,11084562,14TH ST NW,11001402,19.1251775
11605,1,1,0,38.923532,-77.05144399999999,395539.045,139518.779,0,38.923556,-77.051445,2017-04-18 04:00:00+00:00,4982.0,11020022,CONNECTICUT AVE NW,11025152,6.0272001
11625,1,1,0,38.912113,-77.04802600000001,395834.75899999996,138251.053,0,38.911706,-77.04861600000001,2018-09-21 04:00:00+00:00,14406.0,11036722,22ND ST NW,11002202,12.471957699999999
11646,1,1,0,38.881465999999996,-76.933025,405811.19700000004,134849.962,0,38.881457,-76.933049,2017-04-19 04:00:00+00:00,1124.0,13015342,G ST SE,13038612,3.0916892999999996
11688,1,1,0,38.89735,-77.027128,397646.739,136611.432,0,38.8974,-77.027128,2017-04-19 04:00:00+00:00,11108.0,11034382,11TH ST NW,11001102,8.200200099999998
11804,1,1,0,38.904788,-77.043452,396231.066,137437.699,0,38.904788,-77.043399,2017-04-19 04:00:00+00:00,579.0,11001902,M ST NW,11057852,96.3424453
12096,1,1,0,38.890934,-76.993187,400591.061,135898.869,0,38.890892,-76.993185,2018-03-15 04:00:00+00:00,12938.0,12008582,MASSACHUSETTS AVE NE,12059602,14.130165300000002
12117,1,1,0,38.908991,-77.045375,396064.465,137904.342,0,38.909616,-77.044901,2018-09-23 04:00:00+00:00,-9.0,47066802,HOPKINS ST NW,11046472,84.43551190000001
12146,1,1,0,38.867649,-76.988789,400972.93799999997,133314.06900000002,0,38.8677,-76.988647,2017-04-20 04:00:00+00:00,14745.0,13040752,MARTIN LUTHER KING JR AVE SE,13059452,29.437741
12225,1,1,0,38.915572999999995,-77.026803,397675.479,138634.311,0,38.915409000000004,-77.026804,2017-04-22 04:00:00+00:00,9103.0,11084562,11TH ST NW,11001102,27.1533011
12413,1,1,0,38.892114,-77.028137,397558.994,136030.223,1,38.892114,-77.028164,2018-09-24 04:00:00+00:00,12430.0,11001202,12TH EXPY NW,11001242,3.9246977999999997
12449,1,1,0,38.924440000000004,-77.067224,394170.72,139620.43,0,38.924302000000004,-77.06728299999999,2018-09-25 04:00:00+00:00,10810.0,11059602,OBSERVATORY CIR NW,11066432,16.0916068
